word,sum_word_count
the,27637
and,26716
i,20670
to,19189
of,18165
a,14607
you,13593
my,12478
that,11111
in,10961
is,9580
not,8693
for,8240
with,7993
me,7706
it,7661
be,7073
your,6880
his,6856
this,6609
but,6266
he,6241
as,5955
have,5884
thou,5479
so,5250
him,5158
will,4969
what,4456
by,4411
thy,4032
all,3870
are,3846
her,3832
no,3791
do,3747
shall,3586
if,3501
we,3306
thee,3161
or,3122
our,3068
on,3048
lord,3011
king,2850
good,2810
now,2763
sir,2729
from,2643
o,2602
at,2508
come,2500
they,2469
which,2314
would,2293
more,2282
was,2224
then,2214
she,2203
am,2161
how,2158
well,2137
here,2106
let,2099
enter,2098
their,2076
when,2051
love,2037
them,1959
hath,1940
than,1881
may,1863
an,1835
man,1824
there,1800
one,1778
i'll,1742
upon,1730
go,1729
like,1702
say,1667
know,1638
make,1628
did,1624
such,1615
us,1610
should,1574
were,1573
yet,1561
must,1491
why,1461
see,1431
had,1427
tis,1402
out,1366
some,1337
give,1332
these,1320
time,1264
where,1228
too,1225
can,1212
who,1198
take,1197
most,1181
first,1160
speak,1155
mine,1153
th,1148
duke,1070
up,1063
tell,1058
much,1030
exeunt,1021
think,1019
never,1008
heart,974
exit,970
nor,969
doth,939
any,935
queen,932
art,915
great,897
hear,869
lady,859
away,854
death,848
men,841
world,841
before,831
hand,829
look,827
made,827
life,825
father,821
very,812
scene,794
sweet,788
true,784
thus,777
god,770
own,769
master,764
ay,764
again,759
cannot,759
fair,755
prince,741
pray,729
day,714
old,711
two,703
been,695
eyes,679
other,676
son,675
long,671
being,661
name,650
down,650
leave,648
done,642
into,640
both,638
blood,631
nothing,628
though,628
poor,626
night,624
therefore,624
could,621
fear,620
till,617
whose,615
comes,615
heaven,614
noble,611
against,594
ever,593
better,593
hast,583
nay,582
gloucester,572
second,572
many,571
grace,571
even,567
stand,565
honour,564
henry,562
myself,559
way,558
call,555
brother,551
still,549
use,546
those,545
john,538
house,536
bear,532
only,532
peace,530
france,523
find,522
dead,522
caesar,518
live,511
gentleman,509
head,509
wife,507
antony,504
madam,503
part,502
richard,500
might,495
put,494
within,493
word,492
every,491
york,482
brutus,482
little,480
keep,477
off,476
die,470
none,463
friends,463
aside,463
gone,463
young,462
set,462
hold,461
fool,460
lords,460
thine,455
since,448
dear,447
mistress,447
copies,446
best,445
bring,444
himself,444
electronic,443
falstaff,443
distributed,443
service,439
indeed,434
friend,431
soul,430
page,429
dost,428
another,428
unto,428
place,425
stay,424
whom,423
others,419
words,417
once,417
servant,416
full,415
eye,414
show,414
face,413
boy,413
else,412
warwick,411
after,404
about,403
daughter,402
that's,399
faith,397
tongue,395
please,393
there's,392
has,386
three,384
said,379
answer,378
thought,369
forth,367
hence,366
without,364
marry,363
gentle,363
iago,362
welcome,362
mother,360
ere,359
ham,358
makes,356
hope,354
mind,353
farewell,351
clown,350
thing,350
matter,349
right,348
william,348
act,346
sword,345
heard,343
rest,342
nature,341
end,338
what's,338
bid,337
home,337
cause,336
back,331
came,331
things,329
truth,328
othello,325
meet,323
does,323
thousand,321
lie,319
edward,317
hands,317
rome,317
rather,317
,316
help,315
fortune,313
woman,313
news,311
we'll,311
get,311
enough,310
1,308
follow,308
timon,306
wilt,306
power,304
state,304
fellow,303
play,302
2,301
earth,300
messenger,299
shame,298
he's,298
fall,298
pardon,297
hour,295
shalt,294
hither,292
sure,292
husband,290
under,290
thank,289
false,289
ye,286
gods,284
macbeth,284
honest,283
yourself,280
reason,280
mean,279
tears,279
lay,278
far,277
kind,277
fight,275
ford,274
youth,274
shakespeare,268
turn,266
seen,265
bed,265
near,264
means,264
rosalind,264
sent,263
last,263
england,263
spirit,262
lucius,261
light,261
cleopatra,261
through,261
saw,260
send,258
let's,257
break,256
wit,256
cousin,256
crown,256
sleep,255
hot,254
body,254
swear,253
fire,253
soldier,252
majesty,252
buckingham,252
provided,252
together,252
shallow,251
re-enter,251
strange,250
lost,250
prove,250
yours,249
troilus,249
antonio,249
works,249
arms,249
project,248
court,248
war,248
suffolk,246
left,245
complete,245
letter,244
cassio,243
while,243
lies,243
used,242
thoughts,242
etext,242
present,242
villain,241
each,240
third,239
mad,239
fly,239
syracuse,238
speed,238
says,237
charges,237
justice,237
itself,236
alone,235
between,235
personal,234
beat,233
father's,233
gutenberg,233
library,231
child,231
business,231
high,230
ill,230
valentine,230
believe,230
titus,230
gave,229
cassius,229
lear,229
copyright,228
seek,228
told,227
wrong,226
college,226
permission,225
desdemona,225
readable,224
inc,224
french,224
bloody,224
distribution,224
beseech,223
